"time","decimal","CO2","CH4","N2O","SF6"
Jan 1980,1980.042,338.55,NA,NA,NA
Feb 1980,1980.125,339.27,NA,NA,NA
Mar 1980,1980.208,339.6,NA,NA,NA
Apr 1980,1980.292,339.99,NA,NA,NA
May 1980,1980.375,340.43,NA,NA,NA
Jun 1980,1980.458,339.99,NA,NA,NA
Jul 1980,1980.542,338.44,NA,NA,NA
Aug 1980,1980.625,337.21,NA,NA,NA
Sep 1980,1980.708,337.05,NA,NA,NA
Oct 1980,1980.792,337.82,NA,NA,NA
Nov 1980,1980.875,338.93,NA,NA,NA
Dec 1980,1980.958,339.64,NA,NA,NA
Jan 1981,1981.042,340.19,NA,NA,NA
Feb 1981,1981.125,340.75,NA,NA,NA
Mar 1981,1981.208,341.38,NA,NA,NA
Apr 1981,1981.292,341.68,NA,NA,NA
May 1981,1981.375,341.43,NA,NA,NA
Jun 1981,1981.458,340.62,NA,NA,NA
Jul 1981,1981.542,339.22,NA,NA,NA
Aug 1981,1981.625,338.08,NA,NA,NA
Sep 1981,1981.708,337.97,NA,NA,NA
Oct 1981,1981.792,339.07,NA,NA,NA
Nov 1981,1981.875,340.18,NA,NA,NA
Dec 1981,1981.958,340.75,NA,NA,NA
Jan 1982,1982.042,341.37,NA,NA,NA
Feb 1982,1982.125,341.95,NA,NA,NA
Mar 1982,1982.208,342.23,NA,NA,NA
Apr 1982,1982.292,342.52,NA,NA,NA
May 1982,1982.375,342.36,NA,NA,NA
Jun 1982,1982.458,341.49,NA,NA,NA
Jul 1982,1982.542,339.75,NA,NA,NA
Aug 1982,1982.625,338.11,NA,NA,NA
Sep 1982,1982.708,338.16,NA,NA,NA
Oct 1982,1982.792,339.62,NA,NA,NA
Nov 1982,1982.875,340.95,NA,NA,NA
Dec 1982,1982.958,341.77,NA,NA,NA
Jan 1983,1983.042,342.37,NA,NA,NA
Feb 1983,1983.125,342.74,NA,NA,NA
Mar 1983,1983.208,343.04,NA,NA,NA
Apr 1983,1983.292,343.51,NA,NA,NA
May 1983,1983.375,343.84,NA,NA,NA
Jun 1983,1983.458,343.5,NA,NA,NA
Jul 1983,1983.542,342.14,1626,NA,NA
Aug 1983,1983.625,340.62,1628.1,NA,NA
Sep 1983,1983.708,340.53,1638.4,NA,NA
Oct 1983,1983.792,341.75,1644.8,NA,NA
Nov 1983,1983.875,342.83,1642.6,NA,NA
Dec 1983,1983.958,343.49,1639.5,NA,NA
Jan 1984,1984.042,344.32,1638.7,NA,NA
Feb 1984,1984.125,344.82,1638.8,NA,NA
Mar 1984,1984.208,344.96,1640.7,NA,NA
Apr 1984,1984.292,345.19,1643.7,NA,NA
May 1984,1984.375,345.33,1642.9,NA,NA
Jun 1984,1984.458,344.57,1639.6,NA,NA
Jul 1984,1984.542,343.2,1637.8,NA,NA
Aug 1984,1984.625,342.21,1641.4,NA,NA
Sep 1984,1984.708,342.13,1650.4,NA,NA
Oct 1984,1984.792,342.99,1654.5,NA,NA
Nov 1984,1984.875,344.16,1653.7,NA,NA
Dec 1984,1984.958,345,1656.1,NA,NA
Jan 1985,1985.042,345.36,1655.6,NA,NA
Feb 1985,1985.125,345.8,1652.2,NA,NA
Mar 1985,1985.208,346.64,1654.6,NA,NA
Apr 1985,1985.292,346.94,1658.2,NA,NA
May 1985,1985.375,346.77,1655.9,NA,NA
Jun 1985,1985.458,346.26,1650,NA,NA
Jul 1985,1985.542,344.92,1646.8,NA,NA
Aug 1985,1985.625,343.41,1652.2,NA,NA
Sep 1985,1985.708,343.37,1662.5,NA,NA
Oct 1985,1985.792,344.64,1667.5,NA,NA
Nov 1985,1985.875,345.79,1666.8,NA,NA
Dec 1985,1985.958,346.55,1666,NA,NA
Jan 1986,1986.042,347.11,1666.2,NA,NA
Feb 1986,1986.125,347.34,1666.9,NA,NA
Mar 1986,1986.208,347.71,1669.2,NA,NA
Apr 1986,1986.292,348.22,1670.8,NA,NA
May 1986,1986.375,348.32,1668.5,NA,NA
Jun 1986,1986.458,347.76,1664.7,NA,NA
Jul 1986,1986.542,346.3,1662.3,NA,NA
Aug 1986,1986.625,344.92,1664.4,NA,NA
Sep 1986,1986.708,344.86,1672.6,NA,NA
Oct 1986,1986.792,346.04,1678.7,NA,NA
Nov 1986,1986.875,347.3,1679,NA,NA
Dec 1986,1986.958,347.76,1679.1,NA,NA
Jan 1987,1987.042,348.02,1679.3,NA,NA
Feb 1987,1987.125,348.57,1679,NA,NA
Mar 1987,1987.208,349.29,1680.1,NA,NA
Apr 1987,1987.292,349.98,1681.4,NA,NA
May 1987,1987.375,350.26,1681.9,NA,NA
Jun 1987,1987.458,349.48,1680,NA,NA
Jul 1987,1987.542,347.86,1676,NA,NA
Aug 1987,1987.625,346.61,1677.2,NA,NA
Sep 1987,1987.708,346.7,1685.6,NA,NA
Oct 1987,1987.792,347.97,1691.6,NA,NA
Nov 1987,1987.875,349.25,1691.2,NA,NA
Dec 1987,1987.958,350.21,1690.5,NA,NA
Jan 1988,1988.042,350.91,1691.9,NA,NA
Feb 1988,1988.125,351.47,1692.5,NA,NA
Mar 1988,1988.208,351.85,1691.2,NA,NA
Apr 1988,1988.292,352.3,1690,NA,NA
May 1988,1988.375,352.46,1689,NA,NA
Jun 1988,1988.458,351.76,1687.1,NA,NA
Jul 1988,1988.542,350.28,1685.9,NA,NA
Aug 1988,1988.625,349.1,1689.4,NA,NA
Sep 1988,1988.708,349.27,1696.3,NA,NA
Oct 1988,1988.792,350.44,1701.3,NA,NA
Nov 1988,1988.875,351.61,1702.9,NA,NA
Dec 1988,1988.958,352.46,1702,NA,NA
Jan 1989,1989.042,353,1700.6,NA,NA
Feb 1989,1989.125,353.46,1701.1,NA,NA
Mar 1989,1989.208,354,1702.5,NA,NA
Apr 1989,1989.292,354.38,1703.7,NA,NA
May 1989,1989.375,354.19,1703.4,NA,NA
Jun 1989,1989.458,353.26,1700.2,NA,NA
Jul 1989,1989.542,351.56,1698.2,NA,NA
Aug 1989,1989.625,350.21,1702,NA,NA
Sep 1989,1989.708,350.56,1707.1,NA,NA
Oct 1989,1989.792,351.85,1710.5,NA,NA
Nov 1989,1989.875,353.03,1713.1,NA,NA
Dec 1989,1989.958,353.9,1713.1,NA,NA
Jan 1990,1990.042,354.46,1712,NA,NA
Feb 1990,1990.125,354.87,1713.4,NA,NA
Mar 1990,1990.208,355.19,1714.3,NA,NA
Apr 1990,1990.292,355.5,1712.6,NA,NA
May 1990,1990.375,355.4,1710.7,NA,NA
Jun 1990,1990.458,354.33,1708.3,NA,NA
Jul 1990,1990.542,352.71,1706.4,NA,NA
Aug 1990,1990.625,351.58,1710.1,NA,NA
Sep 1990,1990.708,351.8,1717.5,NA,NA
Oct 1990,1990.792,353.19,1722,NA,NA
Nov 1990,1990.875,354.43,1723.5,NA,NA
Dec 1990,1990.958,355.18,1723.3,NA,NA
Jan 1991,1991.042,355.76,1721.6,NA,NA
Feb 1991,1991.125,356.19,1721.2,NA,NA
Mar 1991,1991.208,356.68,1722.1,NA,NA
Apr 1991,1991.292,357.19,1722.6,NA,NA
May 1991,1991.375,357.11,1722.2,NA,NA
Jun 1991,1991.458,356.17,1719,NA,NA
Jul 1991,1991.542,354.53,1716.1,NA,NA
Aug 1991,1991.625,353.05,1719.3,NA,NA
Sep 1991,1991.708,352.93,1726.1,NA,NA
Oct 1991,1991.792,354,1732.8,NA,NA
Nov 1991,1991.875,355.16,1737.5,NA,NA
Dec 1991,1991.958,355.95,1739.6,NA,NA
Jan 1992,1992.042,356.52,1738.9,NA,NA
Feb 1992,1992.125,356.88,1737.4,NA,NA
Mar 1992,1992.208,357.26,1736.9,NA,NA
Apr 1992,1992.292,357.75,1736.6,NA,NA
May 1992,1992.375,357.82,1734.9,NA,NA
Jun 1992,1992.458,356.87,1731.6,NA,NA
Jul 1992,1992.542,355.19,1728.9,NA,NA
Aug 1992,1992.625,353.68,1730.4,NA,NA
Sep 1992,1992.708,353.58,1734.7,NA,NA
Oct 1992,1992.792,354.8,1737.8,NA,NA
Nov 1992,1992.875,355.98,1739.3,NA,NA
Dec 1992,1992.958,356.74,1738.5,NA,NA
Jan 1993,1993.042,357.21,1735.8,NA,NA
Feb 1993,1993.125,357.55,1734.4,NA,NA
Mar 1993,1993.208,357.96,1735.5,NA,NA
Apr 1993,1993.292,358.43,1736.7,NA,NA
May 1993,1993.375,358.38,1735,NA,NA
Jun 1993,1993.458,357.34,1730.8,NA,NA
Jul 1993,1993.542,355.72,1728,NA,NA
Aug 1993,1993.625,354.44,1731.2,NA,NA
Sep 1993,1993.708,354.47,1738.5,NA,NA
Oct 1993,1993.792,355.7,1743.4,NA,NA
Nov 1993,1993.875,356.95,1745.2,NA,NA
Dec 1993,1993.958,357.85,1744.2,NA,NA
Jan 1994,1994.042,358.47,1741.4,NA,NA
Feb 1994,1994.125,359.01,1740.9,NA,NA
Mar 1994,1994.208,359.36,1741.9,NA,NA
Apr 1994,1994.292,359.71,1741.9,NA,NA
May 1994,1994.375,359.74,1740.7,NA,NA
Jun 1994,1994.458,358.81,1736.9,NA,NA
Jul 1994,1994.542,357.28,1732.4,NA,NA
Aug 1994,1994.625,356.06,1734.1,NA,NA
Sep 1994,1994.708,356.02,1742.9,NA,NA
Oct 1994,1994.792,357.26,1749.8,NA,NA
Nov 1994,1994.875,358.69,1751.3,NA,NA
Dec 1994,1994.958,359.55,1751.5,NA,NA
Jan 1995,1995.042,360.13,1751,NA,NA
Feb 1995,1995.125,360.61,1749.4,NA,NA
Mar 1995,1995.208,361.08,1748.9,NA,NA
Apr 1995,1995.292,361.55,1749.5,NA,NA
May 1995,1995.375,361.47,1747.7,NA,NA
Jun 1995,1995.458,360.61,1742.8,NA,NA
Jul 1995,1995.542,358.99,1740.1,NA,NA
Aug 1995,1995.625,357.73,1743.5,NA,NA
Sep 1995,1995.708,358.05,1749.7,NA,NA
Oct 1995,1995.792,359.43,1754.2,NA,NA
Nov 1995,1995.875,360.77,1755.3,NA,NA
Dec 1995,1995.958,361.65,1753.7,NA,NA
Jan 1996,1996.042,362.14,1752.4,NA,NA
Feb 1996,1996.125,362.5,1752.9,NA,NA
Mar 1996,1996.208,362.82,1752.3,NA,NA
Apr 1996,1996.292,363.14,1749.9,NA,NA
May 1996,1996.375,363.29,1748.6,NA,NA
Jun 1996,1996.458,362.88,1746.2,NA,NA
Jul 1996,1996.542,361.57,1742.2,NA,NA
Aug 1996,1996.625,360.07,1744.7,NA,NA
Sep 1996,1996.708,359.7,1753,NA,NA
Oct 1996,1996.792,360.67,1759,NA,NA
Nov 1996,1996.875,361.78,1759.9,NA,NA
Dec 1996,1996.958,362.63,1756.8,NA,NA
Jan 1997,1997.042,363.28,1753.3,NA,NA
Feb 1997,1997.125,363.65,1753.8,NA,NA
Mar 1997,1997.208,364.03,1755.6,NA,NA
Apr 1997,1997.292,364.51,1755.6,NA,NA
May 1997,1997.375,364.51,1753.9,NA,NA
Jun 1997,1997.458,363.6,1750.2,NA,NA
Jul 1997,1997.542,361.93,1746.2,NA,4
Aug 1997,1997.625,360.41,1748,NA,4
Sep 1997,1997.708,360.41,1755.1,NA,4.02
Oct 1997,1997.792,361.94,1760.3,NA,4.05
Nov 1997,1997.875,363.61,1761.7,NA,4.08
Dec 1997,1997.958,364.68,1761.9,NA,4.1
Jan 1998,1998.042,365.19,1761.5,NA,4.11
Feb 1998,1998.125,365.46,1761.6,NA,4.13
Mar 1998,1998.208,365.93,1763,NA,4.15
Apr 1998,1998.292,366.58,1764.7,NA,4.18
May 1998,1998.375,366.86,1764.2,NA,4.19
Jun 1998,1998.458,366.27,1760.3,NA,4.2
Jul 1998,1998.542,364.84,1756.2,NA,4.21
Aug 1998,1998.625,363.79,1760.1,NA,4.22
Sep 1998,1998.708,364.04,1770.5,NA,4.24
Oct 1998,1998.792,365.34,1776.2,NA,4.27
Nov 1998,1998.875,366.6,1775.6,NA,4.29
Dec 1998,1998.958,367.47,1774.1,NA,4.31
Jan 1999,1999.042,368.12,1774,NA,4.33
Feb 1999,1999.125,368.52,1774.2,NA,4.35
Mar 1999,1999.208,368.91,1774.7,NA,4.36
Apr 1999,1999.292,369.3,1775,NA,4.36
May 1999,1999.375,369.21,1772.7,NA,4.35
Jun 1999,1999.458,368.36,1767.4,NA,4.36
Jul 1999,1999.542,366.69,1763,NA,4.37
Aug 1999,1999.625,365.32,1764.7,NA,4.38
Sep 1999,1999.708,365.44,1771.1,NA,4.4
Oct 1999,1999.792,366.75,1776.6,NA,4.43
Nov 1999,1999.875,368.05,1778.6,NA,4.46
Dec 1999,1999.958,368.88,1777.3,NA,4.48
Jan 2000,2000.042,369.39,1775.8,NA,4.5
Feb 2000,2000.125,369.65,1775.9,NA,4.51
Mar 2000,2000.208,369.98,1776.8,NA,4.53
Apr 2000,2000.292,370.35,1777.4,NA,4.55
May 2000,2000.375,370.25,1774.7,NA,4.57
Jun 2000,2000.458,369.31,1768.2,NA,4.58
Jul 2000,2000.542,367.91,1763.6,NA,4.58
Aug 2000,2000.625,366.75,1765.7,NA,4.59
Sep 2000,2000.708,366.7,1772.2,NA,4.62
Oct 2000,2000.792,367.91,1777.2,NA,4.65
Nov 2000,2000.875,369.28,1777.8,NA,4.66
Dec 2000,2000.958,370.1,1775.3,NA,4.68
Jan 2001,2001.042,370.68,1772.9,316.3,4.69
