"year","month","anomaly"
1850,1,-0.7
1851,1,-0.296
1852,1,-0.315
1853,1,-0.182
1854,1,-0.365
1855,1,-0.169
1856,1,-0.122
1857,1,-0.513
1858,1,-0.528
1859,1,-0.308
1860,1,-0.181
1861,1,-0.893
1862,1,-0.742
1863,1,0.122
1864,1,-0.941
1865,1,-0.101
1866,1,0.037
1867,1,-0.313
1868,1,-0.7
1869,1,-0.249
1870,1,-0.082
1871,1,-0.528
1872,1,-0.31
1873,1,-0.03
1874,1,0.063
1875,1,-0.571
1876,1,-0.315
1877,1,-0.327
1878,1,0.174
1879,1,-0.193
1880,1,-0.067
1881,1,-0.353
1882,1,0.125
1883,1,-0.4
1884,1,-0.403
1885,1,-0.502
1886,1,-0.396
1887,1,-0.566
1888,1,-0.591
1889,1,-0.067
1890,1,-0.329
1891,1,-0.512
1892,1,-0.398
1893,1,-0.974
1894,1,-0.465
1895,1,-0.497
1896,1,-0.219
1897,1,-0.203
1898,1,-0.085
1899,1,-0.208
1900,1,-0.266
1901,1,-0.176
1902,1,-0.232
1903,1,-0.269
1904,1,-0.644
1905,1,-0.46
1906,1,-0.075
1907,1,-0.431
1908,1,-0.412
1909,1,-0.579
1910,1,-0.352
1911,1,-0.554
1912,1,-0.361
1913,1,-0.451
1914,1,-0.079
1915,1,-0.111
1916,1,-0.235
1917,1,-0.68
1918,1,-0.501
1919,1,-0.106
1920,1,-0.239
1921,1,-0.141
1922,1,-0.387
1923,1,-0.237
1924,1,-0.315
1925,1,-0.403
1926,1,0.086
1927,1,-0.261
1928,1,-0.054
1929,1,-0.487
1930,1,-0.327
1931,1,-0.007
1932,1,0.157
1933,1,-0.295
1934,1,-0.225
1935,1,-0.233
1936,1,-0.31
1937,1,-0.134
1938,1,0.013
1939,1,-0.068
1940,1,-0.192
1941,1,-0.092
1942,1,0.206
1943,1,-0.214
1944,1,0.281
1945,1,-0.01
1946,1,0.096
1947,1,-0.113
1948,1,0.089
1949,1,0.149
1950,1,-0.318
1951,1,-0.354
1952,1,0.184
1953,1,0.064
1954,1,-0.237
1955,1,0.124
1956,1,-0.247
1957,1,-0.167
1958,1,0.267
1959,1,0.087
1960,1,-0.032
1961,1,0.045
1962,1,0.053
1963,1,-0.045
1964,1,-0.053
1965,1,-0.106
1966,1,-0.094
1967,1,-0.172
1968,1,-0.241
1969,1,-0.172
1970,1,0.07
1971,1,-0.102
1972,1,-0.379
1973,1,0.147
1974,1,-0.372
1975,1,-0.075
1976,1,-0.233
1977,1,-0.074
1978,1,0.017
1979,1,-0.029
1980,1,0.134
1981,1,0.329
1982,1,-0.045
1983,1,0.428
1984,1,0.118
1985,1,0.011
1986,1,0.124
1987,1,0.112
1988,1,0.388
1989,1,0.012
1990,1,0.217
1991,1,0.288
1992,1,0.367
1993,1,0.307
1994,1,0.182
1995,1,0.421
1996,1,0.116
1997,1,0.211
1998,1,0.489
1999,1,0.347
2000,1,0.224
2001,1,0.357
2002,1,0.654
2003,1,0.6
2004,1,0.507
2005,1,0.549
2006,1,0.383
2007,1,0.828
2008,1,0.158
2009,1,0.478
2010,1,0.56
2011,1,0.315
2012,1,0.31
2013,1,0.471
2014,1,0.534
2015,1,0.705
2017,1,0.739
2018,1,0.554
2019,1,0.738
2020,1,0.982
2021,1,0.538
1850,2,-0.286
1851,2,-0.356
1852,2,-0.477
1853,2,-0.327
1854,2,-0.282
1855,2,-0.401
1856,2,-0.376
1857,2,-0.345
1858,2,-0.708
1859,2,-0.189
1860,2,-0.426
1861,2,-0.508
1862,2,-0.78
1863,2,-0.024
1864,2,-0.632
1865,2,-0.615
1866,2,-0.216
1867,2,0.007
1868,2,-0.471
1869,2,0.258
1870,2,-0.453
1871,2,-0.548
1872,2,-0.405
1873,2,-0.344
1874,2,-0.435
1875,2,-0.597
1876,2,-0.279
1877,2,0.049
1878,2,0.403
1879,2,-0.149
1880,2,-0.173
1881,2,-0.234
1882,2,-0.008
1883,2,-0.321
1884,2,-0.217
1885,2,-0.412
1886,2,-0.47
1887,2,-0.556
1888,2,-0.44
1889,2,-0.082
1890,2,-0.368
1891,2,-0.474
1892,2,-0.112
1893,2,-0.727
1894,2,-0.374
1895,2,-0.677
1896,2,-0.23
1897,2,-0.125
1898,2,-0.38
1899,2,-0.494
1900,2,-0.172
1901,2,-0.272
1902,2,-0.26
1903,2,-0.181
1904,2,-0.59
1905,2,-0.703
1906,2,-0.225
1907,2,-0.512
1908,2,-0.413
1909,2,-0.531
1910,2,-0.514
1911,2,-0.753
1912,2,-0.288
1913,2,-0.508
1914,2,-0.211
1915,2,-0.044
1916,2,-0.181
1917,2,-0.765
1918,2,-0.514
1919,2,-0.085
1920,2,-0.427
1921,2,-0.183
1922,2,-0.275
1923,2,-0.419
1924,2,-0.204
1925,2,-0.308
1926,2,-0.042
1927,2,-0.146
1928,2,-0.133
1929,2,-0.67
1930,2,-0.287
1931,2,-0.162
1932,2,-0.196
1933,2,-0.324
1934,2,-0.165
1935,2,0.101
1936,2,-0.365
1937,2,0.039
1938,2,0.017
1939,2,-0.045
1940,2,-0.043
1941,2,-0.017
1942,2,-0.088
1943,2,0.068
1944,2,0.125
1945,2,-0.103
1946,2,0.039
1947,2,-0.174
1948,2,-0.123
1949,2,-0.144
1950,2,-0.25
1951,2,-0.461
1952,2,0.13
1953,2,0.147
1954,2,-0.086
1955,2,-0.168
1956,2,-0.346
1957,2,-0.131
1958,2,0.184
1959,2,0.033
1960,2,0.104
1961,2,0.177
1962,2,0.135
1963,2,0.148
1964,2,-0.127
1965,2,-0.249
1966,2,-0.093
1967,2,-0.237
1968,2,-0.212
1969,2,-0.168
1970,2,0.144
1971,2,-0.289
1972,2,-0.291
1973,2,0.278
1974,2,-0.41
1975,2,-0.093
1976,2,-0.329
1977,2,0.077
1978,2,-0.035
1979,2,-0.138
1980,2,0.217
1981,2,0.197
1982,2,0.006
1983,2,0.313
1984,2,0.013
1985,2,-0.133
1986,2,0.09
1987,2,0.302
1988,2,0.233
1989,2,0.149
1990,2,0.307
1991,2,0.298
1992,2,0.319
1993,2,0.253
1994,2,-0.048
1995,2,0.601
1996,2,0.323
1997,2,0.313
1998,2,0.763
1999,2,0.583
2000,2,0.449
2001,2,0.319
2002,2,0.703
2003,2,0.459
2004,2,0.613
2005,2,0.396
2006,2,0.571
2007,2,0.567
2008,2,0.235
2009,2,0.443
2010,2,0.592
2011,2,0.324
2012,2,0.301
2013,2,0.498
2014,2,0.327
2015,2,0.689
2017,2,0.845
2018,2,0.528
2019,2,0.662
2020,2,1.001
2021,2,0.492
1850,3,-0.732
1851,3,-0.479
1852,3,-0.502
1853,3,-0.309
1854,3,-0.286
1855,3,-0.306
1856,3,-0.528
1857,3,-0.434
1858,3,-0.548
1859,3,-0.327
1860,3,-0.642
1861,3,-0.464
1862,3,-0.403
1863,3,-0.365
1864,3,-0.507
1865,3,-0.646
1866,3,-0.596
1867,3,-0.714
1868,3,-0.079
1869,3,-0.591
1870,3,-0.4
1871,3,0.003
1872,3,-0.47
1873,3,-0.29
1874,3,-0.556
1875,3,-0.597
1876,3,-0.388
1877,3,-0.28
1878,3,0.343
1879,3,-0.094
1880,3,-0.104
1881,3,-0.181
1882,3,-0.051
1883,3,-0.346
1884,3,-0.459
1885,3,-0.482
1886,3,-0.412
1887,3,-0.457
1888,3,-0.534
1889,3,-0.064
1890,3,-0.463
1891,3,-0.363
1892,3,-0.47
1893,3,-0.373
1894,3,-0.38
1895,3,-0.519
1896,3,-0.387
1897,3,-0.275
1898,3,-0.749
1899,3,-0.544
1900,3,-0.285
1901,3,-0.236
1902,3,-0.398
1903,3,-0.358
1904,3,-0.661
1905,3,-0.462
1906,3,-0.284
1907,3,-0.338
1908,3,-0.636
1909,3,-0.69
1910,3,-0.487
1911,3,-0.701
1912,3,-0.385
1913,3,-0.537
1914,3,-0.326
1915,3,-0.187
1916,3,-0.406
1917,3,-0.832
1918,3,-0.445
1919,3,-0.306
1920,3,-0.119
1921,3,-0.249
1922,3,-0.267
1923,3,-0.412
1924,3,-0.271
1925,3,-0.23
1926,3,-0.028
1927,3,-0.333
1928,3,-0.344
1929,3,-0.409
1930,3,-0.15
1931,3,-0.123
1932,3,-0.243
1933,3,-0.348
1934,3,-0.396
1935,3,-0.23
1936,3,-0.31
1937,3,-0.279
1938,3,0.057
1939,3,-0.271
1940,3,-0.119
1941,3,-0.136
1942,3,-0.09
1943,3,-0.204
1944,3,0.135
1945,3,-0.048
1946,3,-0.062
1947,3,-0.064
1948,3,-0.178
1949,3,-0.175
1950,3,-0.181
1951,3,-0.293
1952,3,-0.131
1953,3,0.126
1954,3,-0.153
1955,3,-0.405
1956,3,-0.315
1957,3,-0.188
1958,3,0.001
1959,3,0.079
1960,3,-0.314
1961,3,0.093
1962,3,0.028
1963,3,-0.147
1964,3,-0.278
1965,3,-0.218
1966,3,-0.067
1967,3,-0.05
1968,3,0.036
1969,3,-0.005
1970,3,-0.069
1971,3,-0.282
1972,3,-0.132
1973,3,0.226
1974,3,-0.229
1975,3,-0.077
1976,3,-0.445
1977,3,0.102
1978,3,0.028
1979,3,0.016
1980,3,0.069
1981,3,0.208
1982,3,-0.129
1983,3,0.213
1984,3,0.049
1985,3,-0.026
1986,3,0.075
1987,3,0.022
1988,3,0.262
1989,3,0.136
1990,3,0.562
1991,3,0.198
1992,3,0.258
1993,3,0.239
1994,3,0.222
1995,3,0.322
1996,3,0.186
1997,3,0.344
1998,3,0.549
1999,3,0.226
2000,3,0.382
2001,3,0.51
2002,3,0.701
2003,3,0.45
2004,3,0.532
2005,3,0.565
2006,3,0.461
2007,3,0.517
2008,3,0.559
2009,3,0.404
2010,3,0.682
2011,3,0.42
2012,3,0.36
2013,3,0.421
2014,3,0.584
2015,3,0.708
2017,3,0.873
2018,3,0.615
2019,3,0.874
2020,3,1.017
2021,3,0.634
1850,4,-0.563
1851,4,-0.441
1852,4,-0.557
1853,4,-0.355
1854,4,-0.353
1855,4,-0.223
1856,4,-0.38
1857,4,-0.649
1858,4,-0.512
1859,4,-0.195
1860,4,-0.332
1861,4,-0.386
1862,4,-0.24
1863,4,-0.244
1864,4,-0.548
1865,4,-0.236
1866,4,-0.265
1867,4,-0.266
1868,4,-0.381
1869,4,-0.221
1870,4,-0.206
1871,4,-0.139
1872,4,-0.15
1873,4,-0.524
1874,4,-0.504
1875,4,-0.466
1876,4,-0.298
1877,4,-0.321
1878,4,0.319
1879,4,-0.214
1880,4,-0.15
1881,4,-0.131
1882,4,-0.283
1883,4,-0.397
1884,4,-0.527
1885,4,-0.469
1886,4,-0.338
1887,4,-0.435
1888,4,-0.238
1889,4,0.01
1890,4,-0.324
1891,4,-0.358
1892,4,-0.484
1893,4,-0.567
1894,4,-0.388
1895,4,-0.405
1896,4,-0.352
1897,4,-0.076
1898,4,-0.573
1899,4,-0.351
1900,4,-0.261
1901,4,-0.187
1902,4,-0.451
1903,4,-0.473
1904,4,-0.553
1905,4,-0.555
1906,4,-0.115
1907,4,-0.507
1908,4,-0.55
1909,4,-0.604
1910,4,-0.45
1911,4,-0.717
1912,4,-0.342
1913,4,-0.431
1914,4,-0.39
1915,4,-0.046
1916,4,-0.339
1917,4,-0.477
1918,4,-0.49
1919,4,-0.072
1920,4,-0.264
1921,4,-0.22
1922,4,-0.235
1923,4,-0.36
1924,4,-0.283
1925,4,-0.273
1926,4,-0.176
1927,4,-0.258
1928,4,-0.251
1929,4,-0.389
1930,4,-0.201
1931,4,-0.182
1932,4,-0.069
1933,4,-0.222
1934,4,-0.25
1935,4,-0.273
1936,4,-0.213
1937,4,-0.135
1938,4,0.077
1939,4,-0.106
1940,4,0.047
1941,4,0.019
1942,4,-0.065
1943,4,-0.003
1944,4,0.046
1945,4,0.168
1946,4,0.139
1947,4,0.089
1948,4,-0.045
1949,4,0.004
1950,4,-0.173
1951,4,-0.108
1952,4,0.053
1953,4,0.191
1954,4,-0.145
1955,4,-0.246
1956,4,-0.335
1957,4,-0.064
1958,4,0.035
1959,4,0.046
1960,4,-0.176
1961,4,0.096
1962,4,0.024
1963,4,-0.069
1964,4,-0.246
1965,4,-0.255
1966,4,-0.105
1967,4,-0.063
1968,4,-0.169
1969,4,0.106
1970,4,0.056
