"time","temp"
Jan 1880,-0.18
Feb 1880,-0.24
Mar 1880,-0.08
Apr 1880,-0.16
May 1880,-0.09
Jun 1880,-0.21
Jul 1880,-0.18
Aug 1880,-0.1
Sep 1880,-0.14
Oct 1880,-0.23
Nov 1880,-0.21
Dec 1880,-0.17
Jan 1881,-0.19
Feb 1881,-0.13
Mar 1881,0.04
Apr 1881,0.06
May 1881,0.07
Jun 1881,-0.18
Jul 1881,0.01
Aug 1881,-0.03
Sep 1881,-0.14
Oct 1881,-0.21
Nov 1881,-0.17
Dec 1881,-0.06
Jan 1882,0.17
Feb 1882,0.14
Mar 1882,0.05
Apr 1882,-0.15
May 1882,-0.13
Jun 1882,-0.22
Jul 1882,-0.16
Aug 1882,-0.07
Sep 1882,-0.14
Oct 1882,-0.23
Nov 1882,-0.16
Dec 1882,-0.36
Jan 1883,-0.29
Feb 1883,-0.36
Mar 1883,-0.12
Apr 1883,-0.18
May 1883,-0.17
Jun 1883,-0.07
Jul 1883,-0.07
Aug 1883,-0.13
Sep 1883,-0.21
Oct 1883,-0.11
Nov 1883,-0.23
Dec 1883,-0.11
Jan 1884,-0.12
Feb 1884,-0.08
Mar 1884,-0.36
Apr 1884,-0.4
May 1884,-0.33
Jun 1884,-0.34
Jul 1884,-0.32
Aug 1884,-0.27
Sep 1884,-0.27
Oct 1884,-0.25
Nov 1884,-0.33
Dec 1884,-0.3
Jan 1885,-0.58
Feb 1885,-0.33
Mar 1885,-0.26
Apr 1885,-0.41
May 1885,-0.45
Jun 1885,-0.43
Jul 1885,-0.33
Aug 1885,-0.31
Sep 1885,-0.28
Oct 1885,-0.23
Nov 1885,-0.23
Dec 1885,-0.1
Jan 1886,-0.43
Feb 1886,-0.5
Mar 1886,-0.42
Apr 1886,-0.27
May 1886,-0.24
Jun 1886,-0.34
Jul 1886,-0.17
Aug 1886,-0.3
Sep 1886,-0.23
Oct 1886,-0.27
Nov 1886,-0.26
Dec 1886,-0.25
Jan 1887,-0.71
Feb 1887,-0.56
Mar 1887,-0.35
Apr 1887,-0.34
May 1887,-0.3
Jun 1887,-0.24
Jul 1887,-0.25
Aug 1887,-0.35
Sep 1887,-0.25
Oct 1887,-0.35
Nov 1887,-0.26
Dec 1887,-0.32
Jan 1888,-0.34
Feb 1888,-0.35
Mar 1888,-0.41
Apr 1888,-0.2
May 1888,-0.22
Jun 1888,-0.17
Jul 1888,-0.1
Aug 1888,-0.15
Sep 1888,-0.11
Oct 1888,0.02
Nov 1888,0.03
